#Table1
ra,dec,u,g,r,i,z,type,psffwhm_u,psffwhm_g,psffwhm_r,psffwhm_i,psffwhm_z,flags,Column1
201.823097335199,48.7629804583796,14.62663,13.28559,12.82211,14.32278,13.05247,6,1.775383,1.599183,1.474786,1.50622,1.40587,483856285569040,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER STATIONARY MOVED BINNED1 DEBLENDED_AS_PSF SATURATED INTERP COSMIC_RAY CHILD 
201.694636248102,48.3678466147512,15.37928,13.88261,12.8315,12.53496,12.81244,6,1.755349,1.617363,1.571893,1.569203,1.339609,448682147581960,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER SATUR_CENTER STATIONARY NODEBLEND_MOVING MOVED BINNED4 BINNED2 BINNED1 DEBLEND_PRUNED SATURATED INTERP COSMIC_RAY BLENDED 
201.694618058739,48.3678404590143,15.3719,13.89136,12.83321,12.53376,12.82153,6,1.755405,1.618811,1.573209,1.569201,1.339504,448669732438090,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER SATUR_CENTER STATIONARY BINNED1 SATURATED INTERP NODEBLEND BLENDED BRIGHT 
201.694636245299,48.3678466174504,15.33411,13.77482,12.84131,12.56414,12.7333,6,1.755349,1.617363,1.571893,1.569203,1.339609,483787566092304,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER MOVED BINNED1 DEBLENDED_AS_PSF SATURATED INTERP COSMIC_RAY CHILD 
201.823081990309,48.7629814978739,14.66879,13.34014,12.84593,14.28924,13.13032,6,1.773962,1.601237,1.474613,1.506769,1.405396,483856252014610,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER STATIONARY MOVED BINNED1 SATURATED INTERP COSMIC_RAY CHILD BRIGHT 
201.799300349046,48.6125576339366,14.96511,13.0413,13.00247,13.17693,13.75499,6,1.283235,1.382514,1.147656,1.21659,0.9976583,448669732438090,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER SATUR_CENTER STATIONARY BINNED1 SATURATED INTERP NODEBLEND BLENDED BRIGHT 
201.799296016988,48.6125595664929,14.87632,13.03578,13.00904,13.19143,13.69214,6,1.283346,1.382753,1.149034,1.217852,0.9977379,483856252014608,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER STATIONARY MOVED BINNED1 SATURATED INTERP COSMIC_RAY CHILD 
201.799296019375,48.6125595730921,14.87895,13.03685,13.00913,13.19136,13.69458,6,1.283346,1.382753,1.149034,1.217852,0.9977379,448681073840136,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER SATUR_CENTER STATIONARY NODEBLEND_MOVING MOVED BINNED2 BINNED1 DEBLEND_PRUNED SATURATED INTERP COSMIC_RAY BLENDED 
201.188065651215,48.3852026442123,15.06887,13.62024,13.03058,12.85678,13.27313,6,1.580366,1.317042,1.250064,1.055815,1.219967,448682147581960,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER SATUR_CENTER STATIONARY NODEBLEND_MOVING MOVED BINNED4 BINNED2 BINNED1 DEBLEND_PRUNED SATURATED INTERP COSMIC_RAY BLENDED 
201.188053255105,48.3852032187209,15.05928,13.61249,13.03083,12.85155,13.27091,6,1.579948,1.316177,1.250484,1.054624,1.219966,448669732438090,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER SATUR_CENTER STATIONARY BINNED1 SATURATED INTERP NODEBLEND BLENDED BRIGHT 
